EX_RL,RL,EX_RT,RT,nu_RL,nu_RT,q,Q2
16.995,19.692,17.944000000000003,15.12,0.01822763344868683,0.01917504837715889,0.167,0.026
17.192,19.2132,18.108,16.300800000000002,0.01842431100215158,0.01933876633193599,0.167,0.026
17.373,17.0424,18.283,15.940800000000001,0.01860501169885964,0.01951346272912602,0.167,0.026
17.56,15.5628,18.441,13.568399999999999,0.01879169941104131,0.01967118627797504,0.167,0.026
17.688,15.7428,18.623,11.0592,0.01891948385804909,0.01985286508087647,0.167,0.026
17.85,16.0956,18.793,11.5128,0.01908120895798504,0.02002256239913081,0.167,0.026
18.014,16.524,18.924,13.752,0.01924492828481483,0.02015332740180042,0.167,0.026
18.185,18.471600000000002,19.024,16.603199999999998,0.01941563308248462,0.02025314698681058,0.167,0.026
18.311,21.0456,19.124,19.0944,0.01954141389975028,0.02035296568205247,0.167,0.026
18.43,23.400000000000002,19.209,21.9132,0.0196602055965247,0.02043781087344421,0.167,0.026
18.586,26.1252,19.325,24.875999999999998,0.01981593061789866,0.02055359856798766,0.167,0.026
18.745,26.244,19.487000000000002,27.4536,0.01997464812275851,0.02071530006902123,0.167,0.026
18.950000000000003,24.555600000000002,19.687,25.6104,0.0201792805794998,0.02091492833122643,0.167,0.026
19.089,23.6916,19.768,23.004,0.02031802923992743,0.02099577676498576,0.167,0.026
19.245,22.9428,19.88,20.602800000000002,0.02047374511366229,0.02110756623044452,0.167,0.026
19.411,23.5188,20.027,17.2332,0.02063944039631949,0.02125428821044295,0.167,0.026
19.602999999999998,24.4296,20.22,15.937199999999999,0.02083108489452989,0.02144692027244766,0.167,0.026
19.768,25.351200000000002,20.38,15.5772,0.02099577676498576,0.02160661273421738,0.167,0.026
19.949,25.8804,20.535999999999998,15.368400000000001,0.0211764359706379,0.02176231069213408,0.167,0.026
20.095,26.168400000000002,20.694,15.4044,0.02132215895229983,0.02192000257144677,0.167,0.026
20.259,26.9064,20.875999999999998,15.1272,0.02148584551987476,0.0221016448959066,0.167,0.026
20.423000000000002,28.2744,21.045,15.094800000000001,0.02164952969511447,0.02227031013091363,0.167,0.026
20.593,30.5568,21.238,14.6016,0.02181919979068248,0.02246292471878242,0.167,0.026
20.774,33.624,21.446,14.180399999999999,0.02199984571428537,0.02267050564384832,0.167,0.026
20.892999999999997,35.8344,21.616,14.597999999999999,0.02211861133622151,0.0228401602736934,0.167,0.026
21.019,38.8764,21.808999999999997,15.84,0.02224436179854195,0.02303276506233587,0.167,0.026
21.194000000000003,42.48,21.971,16.6824,0.02241901287625936,0.02319443077388961,0.167,0.026
21.27,44.8416,22.141000000000002,17.3304,0.02249486049612059,0.02336407746842362,0.167,0.026
21.375999999999998,47.728799999999985,22.302,18.09,0.02260064710817211,0.02352474049849995,0.167,0.026
21.413,49.4892,22.473,18.1368,0.02263757238845798,0.02369538007528504,0.167,0.026
21.496000000000002,52.239599999999996,22.65,19.659599999999998,0.02272040433114419,0.02387200426785796,0.167,0.026
21.614,56.077200000000005,22.851,17.8848,0.02283816435180874,0.02407257412662922,0.167,0.026
21.79,59.33160000000001,23.026999999999997,16.2072,0.02301380411612541,0.02424819453666593,0.167,0.026
21.984,60.51599999999999,23.157,14.6592,0.02320740384713993,0.02437791238985199,0.167,0.026
22.126,58.35600000000001,23.308,13.7592,0.02334910874578533,0.02452858277987247,0.167,0.026
22.241,57.18959999999999,23.483,13.6728,0.02346386844148185,0.02470319824639411,0.167,0.026
22.422,55.025999999999996,23.653,13.5504,0.02364448784195261,0.02487282209344777,0.167,0.026
22.561,52.12079999999999,23.823,14.3784,0.02378319358127889,0.02504244337224648,0.167,0.026
22.71,50.8572,24.008000000000003,14.5584,0.02393187624348947,0.02522702831643997,0.167,0.026
22.861,49.5972,24.169,14.8428,0.0240825526327928,0.02538766463073117,0.167,0.026
23.025,48.7944,24.313000000000002,14.7744,0.02424619886565438,0.02553133739536584,0.167,0.026
23.188,49.59,24.496,14.0508,0.02440884488688866,0.02571391887529373,0.167,0.026
23.362000000000002,51.375600000000006,24.659,12.996,0.024582464414177,0.0258765435897228,0.167,0.026
23.534,53.873999999999995,24.840999999999998,12.942,0.02475408567018356,0.0260581217699869,0.167,0.026
23.679,54.6624,25.011,13.6116,0.02489876433773652,0.02622772510448534,0.167,0.026
23.826,54.648,25.241,14.436,0.02504543666587189,0.02645718435302058,0.167,0.026
24.012999999999998,52.776,25.429,13.428,0.02523201705650635,0.02664473885718621,0.167,0.026
24.192,49.132799999999996,25.628999999999998,12.8628,0.0254106124876099,0.0268442614790505,0.167,0.026
24.378,45.51119999999999,25.817,11.9412,0.02559618908143335,0.02703180950415707,0.167,0.026
24.586,43.268400000000014,25.978,12.5892,0.02580371195425712,0.02719241994531707,0.167,0.026
24.736,43.4196,26.146,12.6792,0.02595336548666616,0.02736001099473917,0.167,0.026
24.882,44.5644,26.298,12.8376,0.0260990263385299,0.02751163883202601,0.167,0.026
25.041,45.82439999999999,26.473,13.176,0.02625765483818299,0.02768620781431785,0.167,0.026
25.201999999999998,47.1708,26.645,13.6188,0.0264182763765124,0.02785778153551277,0.167,0.026
25.375,48.8196,26.819,14.9292,0.02659086714012915,0.02803134762704573,0.167,0.026
25.541,49.8708,26.996,15.674400000000002,0.02675647196314657,0.02820790347921509,0.167,0.026
25.701,50.2128,27.16,15.264,0.02691608875318607,0.02837148946973045,0.167,0.026
25.845,49.698,27.314,14.860800000000001,0.02705974192016569,0.02852509853076768,0.167,0.026
26.0,48.722400000000015,27.487000000000002,14.4576,0.02721436653489562,0.02869765684789094,0.167,0.026
26.192,47.898,27.653000000000002,15.2676,0.02740589858305853,0.02886323053868622,0.167,0.026
26.37,47.8944,27.836,15.8616,0.02758346182830529,0.0290457577365153,0.167,0.026
26.592000000000002,47.019600000000004,28.027,14.8032,0.02780491316888956,0.02923626109488353,0.167,0.026
26.769000000000002,45.367200000000004,28.195,13.1904,0.02798147258864603,0.02940382158151778,0.167,0.026
26.965,43.5348,28.328,11.1708,0.02817698146874825,0.02953647185678321,0.167,0.026
27.173,42.0984,28.382,12.1032,0.02838445654975708,0.02959032941515005,0.167,0.026
27.376,41.2884,28.529,11.9412,0.02858694054527966,0.02973694034616514,0.167,0.026
27.574,39.6252,28.685,12.2256,0.02878443372584982,0.02989252535908271,0.167,0.026
27.762999999999998,37.8468,28.858,12.495600000000001,0.02897294669707051,0.03006506262343223,0.167,0.026
27.902,39.024,29.031000000000002,12.4884,0.0291115864882876,0.0302375972317801,0.167,0.026
28.065,40.33440000000002,29.211000000000002,12.596400000000001,0.02927416190038556,0.03041711019000282,0.167,0.026
28.225,41.7564,29.413,11.3256,0.02943374283337086,0.03061856019732723,0.167,0.026
28.389,42.8544,29.566,11.6136,0.02959731093154616,0.03077114120901392,0.167,0.026
28.558,42.48,29.711000000000002,11.412,0.02976586336456322,0.0309157422116435,0.167,0.026
28.771,41.868,29.873,11.1096,0.0299782956606407,0.03107729422899475,0.167,0.026
28.982,41.814,30.041999999999998,11.34,0.03018872931750849,0.03124582440763568,0.167,0.026
29.194000000000003,40.665600000000005,30.227,11.538,0.03040015631133741,0.03143030720116435,0.167,0.026
29.366,41.274,30.419999999999998,11.646,0.03057168848912717,0.03162276439310041,0.167,0.026
29.544999999999998,40.2624,30.585,11.4984,0.03075019884018992,0.03178729771443933,0.167,0.026
29.686,40.7124,30.77,11.365200000000002,0.03089081113738068,0.03197177159692899,0.167,0.026
29.821,40.9932,30.919999999999998,11.124,0.03102543827963622,0.03212134278661694,0.167,0.026
29.996,39.7476,31.078000000000003,10.872,0.03119995253898544,0.03227888894830322,0.167,0.026
30.178,39.1428,31.239,11.1132,0.03138144448657876,0.03243942421527102,0.167,0.026
30.387999999999998,38.6784,31.429,11.3688,0.03159085462087674,0.03262887281529814,0.167,0.026
30.563,38.012399999999985,31.616,11.527199999999999,0.0317653600777934,0.03281532699562462,0.167,0.026
30.766000000000002,38.358000000000004,31.81,11.563199999999998,0.0319677830045535,0.03300875746692178,0.167,0.026
30.972,37.85760000000001,31.983999999999998,11.6136,0.03217319366654614,0.03318224381354007,0.167,0.026
31.18,35.8452,32.139,12.024,0.03238059478802846,0.03333678398789353,0.167,0.026
31.387999999999998,34.4664,32.303,11.952,0.03258799207249474,0.03350029514337649,0.167,0.026
