E0,ThetaDeg,nu,A,Z,CS_qe,CS_mec,CS_inel,cross,,
0.3201,145,0.2201,12,6,156.1843503,350.3358662,67.96361754,574.4838341,,
0.3203,60,2.80E-03,12,6,0,0,0,0,,
0.3203,60,7.80E-03,12,6,1600.391558,0,0,1600.391558,,
0.3203,60,1.28E-02,12,6,5423.430817,5.050788144,0,5428.481605,,
0.3203,60,1.78E-02,12,6,9251.315983,56.64539909,0,9307.961382,,
0.3203,60,2.28E-02,12,6,12898.01788,109.1723778,0,13007.19026,,
0.3203,60,2.78E-02,12,6,16182.29973,162.5062719,0,16344.806,,
0.3203,60,3.28E-02,12,6,18950.87267,216.6274068,0,19167.50007,,
0.3203,60,3.78E-02,12,6,22001.10876,271.3979304,0,22272.50669,,
0.3203,60,4.28E-02,12,6,24582.95422,326.6102199,0,24909.56444,,
